Time(ms),QueueSize(Packets)
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,56
1300,13
1400,93
1500,12
1600,0
1700,0
1800,25
1900,70
2000,11
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0
3600,0
3700,0
3800,0
3900,0
4000,0
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,92
5200,0
5300,90
5400,27
5500,15
5600,0
5700,0
5800,0
5900,92
6000,45
6100,0
6200,0
6300,0
6400,0
6500,0
6600,0
6700,0
6800,0
6900,0
7000,0
7100,73
7200,54
7300,23
7400,59
7500,76
7600,89
7700,23
7800,16
7900,0
8000,11
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,0
9200,53
9300,53
9400,57
9500,55
9600,55
9700,55
9800,53
9900,56
10000,55
10100,0
10200,0
10300,0
10400,0
10500,0
10600,0
10700,0
10800,0
10900,0
11000,0
11100,0
11200,0
11300,0
11400,0
11500,0
11600,0
11700,0
11800,0
11900,0
12000,0
12100,0
12200,0
12300,0
12400,0
12500,0
12600,0
12700,0
12800,0
12900,0
13000,0
13100,90
13200,86
13300,56
13400,88
13500,86
13600,0
13700,47
13800,61
13900,60
14000,82
14100,0
14200,0
14300,0
14400,0
14500,0
14600,0
14700,0
14800,0
14900,0
15000,0
15100,0
15200,0
15300,0
15400,0
15500,0
15600,0
15700,0
15800,0
15900,0
16000,0
16100,0
16200,0
16300,0
16400,0
16500,0
16600,0
16700,0
16800,0
16900,0
17000,0
17100,55
17200,48
17300,0
17400,88
17500,51
17600,0
17700,46
17800,34
17900,13
18000,0
18100,0
18200,0
18300,0
18400,0
18500,0
18600,0
18700,0
18800,0
18900,0
19000,0
19100,82
19200,63
19300,78
19400,90
19500,30
19600,15
19700,63
19800,0
19900,69
20000,0
20100,0
20200,0
20300,0
20400,0
20500,0
20600,0
20700,0
20800,0
20900,0
21000,0
21100,0
21200,0
21300,0
21400,0
21500,0
21600,0
21700,0
21800,0
21900,0
22000,0
22100,0
22200,0
22300,0
22400,0
22500,0
22600,0
22700,0
22800,0
22900,0
23000,0
23100,99
23200,77
23300,40
23400,42
23500,50
23600,68
23700,16
23800,98
23900,0
24000,55
24100,0
24200,0
24300,0
24400,0
24500,0
24600,0
24700,0
24800,0
24900,0
25000,0
25100,0
25200,0
25300,0
25400,0
25500,0
25600,0
25700,0
25800,0
25900,0
26000,0
26100,0
26200,0
26300,0
26400,0
26500,0
26600,0
26700,0
26800,0
26900,0
27000,0
27100,70
27200,75
27300,0
27400,44
27500,42
27600,61
27700,75
27800,67
27900,90
28000,88
28100,0
28200,0
28300,0
28400,0
28500,0
28600,0
28700,0
28800,0
28900,0
29000,0
29100,57
29200,35
29300,0
29400,87
29500,0
29600,54
29700,82
29800,2
29900,0
30000,0
30100,0
30200,0
30300,0
30400,0
30500,0
30600,0
30700,0
30800,0
30900,0
31000,0
31100,57
31200,68
31300,55
31400,38
31500,66
31600,36
31700,0
31800,29
31900,19
32000,8
32100,0
32200,0
32300,0
32400,0
32500,0
32600,0
32700,0
32800,0
32900,0
33000,0
33100,56
33200,71
33300,30
33400,14
33500,13
33600,0
33700,76
33800,69
33900,51
34000,74
34100,0
34200,0
34300,0
34400,0
34500,0
34600,0
34700,0
34800,0
34900,0
35000,0
35100,0
35200,0
35300,0
35400,0
35500,0
35600,0
35700,0
35800,0
35900,0
36000,0
36100,0
36200,0
36300,0
36400,0
36500,0
36600,0
36700,0
36800,0
36900,0
37000,0
37100,86
37200,86
37300,75
37400,43
37500,31
37600,0
37700,95
37800,72
37900,87
38000,0
38100,0
38200,0
38300,0
38400,0
38500,0
38600,0
38700,0
38800,0
38900,0
39000,0
39100,0
39200,69
39300,28
39400,0
39500,22
39600,6
39700,0
39800,0
39900,25
40000,0
40100,0
40200,0
40300,0
40400,0
40500,0
40600,0
40700,0
40800,0
40900,0
41000,0
41100,92
41200,66
41300,70
41400,82
41500,73
41600,77
41700,65
41800,55
41900,69
42000,19
42100,0
42200,0
42300,0
42400,0
42500,0
42600,0
42700,0
42800,0
42900,0
43000,0
43100,60
43200,83
43300,91
43400,98
43500,35
43600,18
43700,20
43800,69
43900,73
44000,0
44100,0
44200,0
44300,0
44400,0
44500,0
44600,0
44700,0
44800,0
44900,0
45000,0
45100,50
45200,86
45300,80
45400,54
45500,32
45600,24
45700,11
45800,1
45900,0
46000,0
46100,0
46200,0
46300,0
46400,0
46500,0
46600,0
46700,0
46800,0
46900,0
47000,0
47100,0
47200,78
47300,56
47400,48
47500,58
47600,0
47700,84
47800,34
47900,1
48000,0
48100,0
48200,0
48300,0
48400,0
48500,0
48600,0
48700,0
48800,0
48900,0
49000,0
49100,60
49200,39
49300,7
49400,6
49500,0
49600,4
49700,91
49800,12
49900,28
